Accession,Control-1,Control-2,Control-3,Treat2-1,Treat2-2
B4DJK9,-0.442370331,-0.492910448,0.056652531,0.505624674,0.473647229
H7C2R1,-0.084875654,-0.246865759,-0.042311263,0.201082318,0.36262964
Q4G0N4,-0.265206938,-0.187570251,-0.158175453,0.072160318,0.268576469
Q2NLD4,-0.520001807,-0.178389161,-0.164151795,0.315038954,0.200436224
B4E299,-0.384248155,-0.242871852,-0.244608969,0.210658403,0.015712621
A0A0J9YWR7,-0.357109857,-0.30624468,-0.041949167,0.207835002,0.276339055
H0YBI8,-0.79012566,-0.939071704,-0.54419279,0.040084023,0.479970041
B4DPN0,-1.014127098,-1.177636022,-1.251241341,-0.56785223,-0.768323837
O43402,-0.243010865,-0.146840738,-0.097232441,0.161772466,0.055019248
E5RGL4,0.044705714,-0.363334012,-0.399969877,0.393696573,0.613602901
Q08AF3,-0.404265492,-0.251544853,-0.114397161,0.223225306,0.1134741
F8WDW9,-0.353523802,-0.109062871,-0.134389426,0.136965247,0.229159754
F5H4Y8,0.000225297,0.16314016,-0.072314059,0.361163218,0.361506117
A0A0M4G3H8,-0.014256219,-0.001048439,-0.123735167,0.401505092,0.217205649
F2Z2C9,-0.181998254,-0.037406117,-0.191600727,0.355270065,0.698806492
B3KRY3,-0.056302899,-0.123102528,-0.104696766,0.095062607,0.248866544
P05556,-0.249006311,-0.346989626,-0.121394239,0.078808323,0.231863054
E5RHT2,-0.563161956,-0.314778961,-0.424283212,0.331675853,0.032046669
Q9UKV8,-0.20607119,-0.182806908,-0.109235115,0.036440745,0.18594228
P00568,-0.002231141,-0.237034328,-0.140694537,0.407595752,0.218888952
O60858,-0.349956867,-0.310241957,-0.202335476,0.443324959,0.132165217
Q8TD12,-0.680752949,-1.066828449,-0.59861802,0.098214219,0.596350771
I3L0S6,-0.622394525,-0.346138537,-0.335205548,-0.033739256,0.138039927
P34931,-0.327166048,-0.296528077,-0.652189687,0.119254806,0.023583737
Q9NZH8,-0.157409524,-0.283111348,-0.099197228,0.145771733,0.369902741
Q92520,-0.145622065,-0.198644556,-0.055212852,0.082003588,0.212661194
B4DLI7,-0.837202787,-0.374712044,-0.371862609,0.226459305,0.050866762
Q5JR08,-1.04812598,-0.654538777,-0.094322747,0.486797719,0.391366667
K7EQX8,-0.483243245,-0.814427236,-0.522528326,0.108973208,-0.138949158
B2R983,-0.402613995,-0.161283426,-0.194312402,0.257287664,0.084213343
Q9Y6G9,-0.012396223,0.099726541,-0.112732704,0.265049477,0.273879344
Q9P1F3,-0.26204078,-0.009623472,-0.013834127,0.303734566,0.542238012
B2RDB1,-0.506022415,-0.257545405,0.072365371,0.413241439,0.609088133
P08758,-0.611527211,-0.138714827,-0.27371955,0.190049078,0.270892451
B3KWL5,0.220994122,-0.029756944,0.049457785,0.434556908,0.395617178
O75323,-0.218449212,-0.312498269,-0.070027075,0.168797695,0.095332889
P58546,-0.706286618,-0.411445724,0.022289614,0.408944743,0.595087002
Q9UH51,-0.095868112,-0.311650857,-0.139987566,0.286403449,0.115582453
Q9H078,-0.254507516,-0.14474842,-0.215623054,0.004412508,0.17435421
A5PLM0,-0.202526509,-0.330172377,-0.202327262,0.118582546,-0.029304993
Q53F37,-0.450410178,-0.243546498,-0.045384096,0.252494775,0.222325239
E1A689,-0.22055799,-0.497206733,-0.000732546,0.305383227,0.379617894
P07602,-0.708139853,-0.676121988,-0.242122832,0.044203623,0.160977417
P33763,-1.030697312,-0.683014746,-0.848951116,0.247798566,-0.200220023
F8W696,-0.655856318,-0.974014319,-0.46700099,0.369147493,-0.02502666
Q9P0N4,-0.49365184,-0.239398152,-0.001261095,0.345494779,0.299244513
Q96N67,-0.288228824,-0.110905515,-0.086508395,0.094833942,0.200343647
B2R4I8,-0.061272771,0.134514327,-0.092625653,0.414409634,0.289573658
